pid,code,duration,code_score,A/C,M/F,code_count,engagement_score,norm_engagement_score
100,"['Approach', 'None']","[8560, 5520]","[0, 4]",Adult,Female,2,22080,1.8094349106052992
107,"['Approach', 'None']","[11120, 1600]","[0, 4]",Adult,Male,2,6400,0.4020966468011776
110,"['Approach', 'None', 'Gesture', 'None']","[7760, 8400, 4400, 6160]","[0, 4, 5, 4]",Adult,Male,4,80240,7.0295110217563
115,"['Approach', 'None', 'Touch', 'None', 'None']","[12800, 5200, 7120, 2080, 4480]","[0, 4, 5, 4, 4]",Child,Female,5,82640,7.244919939685503
117,"['Follow', 'None']","[5680, 8480]","[2, 4]",Adult,Male,2,45280,3.8917211172542543
118,"['Approach', 'None', 'Touch', 'None']","[6000, 1440, 6320, 14960]","[0, 4, 5, 4]",Adult,Male,4,97200,8.55173404178933
119,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[7760, 5200, 3440, 1920, 3040, 35960, 3840, 40000, 4640, 45920, 6560]","[0, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5]",Adult,Male,11,623600,55.7980900409277
120,"['Approach', 'Touch', 'None', 'Touch', 'None']","[3360, 13360, 5760, 3200, 6080]","[0, 5, 4, 5, 4]",Adult,Male,5,130160,11.510016514683707
121,"['Approach', 'None']","[1800, 25920]","[0, 4]",Adult,Male,2,103680,9.133338120198175
123,"['Avoid', 'None', 'Touch']","[3680, 5120, 3400]","[2, 4, 5]",Adult,Male,3,44840,3.852229482300567
126,"['Approach', 'None', 'Touch', 'None']","[7600, 1520, 11120, 10480]","[0, 4, 5, 4]",Child,Female,4,103600,9.12615782293387
127,"['Approach', 'None']","[6880, 20640]","[0, 4]",Child,Female,2,82560,7.237739642421197
128,"['Approach', 'None']","[3520, 3040]","[0, 4]",Child,Female,2,12160,0.919078049831263
129,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Gesture', 'None']","[2320, 11200, 5440, 2720, 6000, 2400, 3680, 6120, 600, 2480, 47400]","[0, 4, 5, 4, 5, 4, 5, 5, 4, 5, 4]",Child,Female,11,375880,33.564299562001864
130,"['Approach', 'None']","[3040, 5680]","[0, 4]",Child,Female,2,22720,1.8668772887197531
131,"['Approach', 'Touch']","[4160, 2880]","[0, 5]",Child,Female,2,14400,1.1201263732318518
132,"['Approach', 'Touch']","[6320, 2960]","[0, 5]",Child,Female,2,14800,1.1560278595533855
133,"['Approach', 'None', 'Touch']","[3200, 2880, 4000]","[0, 4, 5]",Child,Female,3,31520,2.6567099877934948
134,"['Approach', 'Touch']","[5680, 2200]","[0, 5]",Child,Female,2,11000,0.8149637394988153
135,"['Approach', 'None', 'Approach', 'None']","[7920, 8160, 4240, 6320]","[0, 4, 0, 4]",Child,Female,4,57920,5.026208085014719
136,"['Approach', 'None', 'Touch']","[5040, 2560, 3440]","[0, 4, 5]",Child,Female,3,27440,2.2905148273138507
137,"['Approach', 'None', 'Touch', 'None']","[3680, 1760, 3440, 11040]","[0, 4, 5, 4]",Child,Female,4,68400,5.966827026638903
