pid,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_score,norm_engagement_score,engagement_level
265,"['Approach', 'None']",2,"[3, 4]","[6400, 83680]","[0.07104795737122557, 0.9289520426287744]",Child,Male,"회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화",3.9289520426287745,68.5086233149191,low
266,"['Approach', 'None']",2,"[3, 4]","[4480, 6480]","[0.40875912408759124, 0.5912408759124088]",Child,Male,"회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화",3.5912408759124093,58.34977887005714,low
268,"['Approach', 'None']",2,"[3, 4]","[2240, 13200]","[0.14507772020725387, 0.8549222797927462]",Child,Male,"회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화",3.8549222797927465,66.28170007677559,low
269,"['Approach', 'None', 'None']",3,"[3, 4, 4]","[4720, 6080, 20960]","[0.1486146095717884, 0.19143576826196473, 0.6599496221662469]",Child,Male,"회색 후드, 회색 트레이닝 바지, 검정색 운동화",3.8513853904282116,66.17530528615508,low
270,"['Approach', 'None']",2,"[3, 4]","[6880, 9040]","[0.4321608040201005, 0.5678391959798995]",Child,Female,"빨간색 상의, 청바지, 흰색 운동화",3.5678391959798996,57.64582220645509,low
271,"['Approach', 'None']",2,"[3, 4]","[5200, 31760]","[0.1406926406926407, 0.8593073593073594]",Child,Female,"빨간색 상의, 청바지, 흰색 운동화",3.8593073593073597,66.41360966419153,low
272,"['Approach', 'None']",2,"[3, 4]","[10240, 10720]","[0.48854961832061067, 0.5114503816793893]",Child,Female,"반묶음 머리, 체크무늬 상의, 검정색 바지",3.5114503816793894,55.94956442949444,low
273,"['Approach', 'None', 'None']",3,"[3, 4, 4]","[6320, 41280, 18080]","[0.09622411693057248, 0.6285018270401949, 0.27527405602923266]",Child,Female,"반묶음 머리, 체크무늬 상의, 검정색 바지",3.903775883069428,67.7512877160722,low
274,"['Approach', 'None']",2,"[3, 4]","[12720, 37600]","[0.2527821939586645, 0.7472178060413355]",Child,Male,"회색 후드, 아이보리색 점퍼, 검정색 바지",3.7472178060413355,63.0417924199013,low
275,"['Approach', 'None']",2,"[3, 4]","[17200, 59760]","[0.2234927234927235, 0.7765072765072765]",Child,Male,"회색 후드, 아이보리색 점퍼, 검정색 바지",3.7765072765072762,63.922862410061775,low
276,"['Approach', 'None']",2,"[3, 4]","[8960, 3040]","[0.7466666666666667, 0.25333333333333335]",Child,Male,"회색 후드, 아이보리색 점퍼, 검정색 바지",3.253333333333334,48.185027152831665,low
277,"['Approach', 'None']",2,"[3, 4]","[7360, 2880]","[0.71875, 0.28125]",Child,Female,"검정색 상의, 검정색 치마, 검정색 반스타킹",3.28125,49.02480120248254,low
280,"['Approach', 'None']",2,"[3, 4]","[9360, 149920]","[0.05876443997990959, 0.9412355600200905]",Child,Male,"검정색 상의(소매에 흰색 줄무늬), 회색 바지, 베이지색 운동화",3.9412355600200906,68.87812943349807,low
281,"['Approach', 'Touch']",2,"[3, 5]","[6240, 30080]","[0.17180616740088106, 0.8281938325991189]",Child,Male,"검정색 상의(소매에 흰색 줄무늬), 회색 바지, 베이지색 운동화",4.656387665198238,90.39094780299588,high
282,"['Approach', 'None']",2,"[3, 4]","[2800, 10880]","[0.2046783625730994, 0.7953216374269005]",Child,Male,"검정색 상의(소매에 흰색 줄무늬), 회색 바지, 베이지색 운동화",3.7953216374269,64.4888258271746,low
283,"['Approach', 'None']",2,"[3, 4]","[4320, 13040]","[0.2488479262672811, 0.7511520737327189]",Child,Male,"검정색 상의(소매에 흰색 줄무늬), 회색 바지, 베이지색 운동화",3.751152073732719,63.16014093016771,low
284,"['Approach', 'None']",2,"[3, 4]","[34160, 2960]","[0.9202586206896551, 0.07974137931034483]",Child,Female,"흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화",3.0797413793103448,42.96312799283058,low
285,"['Approach', 'None']",2,"[3, 4]","[4800, 20560]","[0.1892744479495268, 0.8107255520504731]",Child,Female,"흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화",3.810725552050473,64.95219804558346,low
286,"['Approach', 'None']",2,"[3, 4]","[3600, 3440]","[0.5113636363636364, 0.48863636363636365]",Child,Female,"흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화",3.4886363636363638,55.26328549262994,low
287,"['Approach', 'None']",2,"[3, 4]","[8800, 10880]","[0.44715447154471544, 0.5528455284552846]",Child,Female,"흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화",3.5528455284552845,57.19479081912618,low
289,"['Follow', 'None']",2,"[2, 4]","[13600, 17680]","[0.43478260869565216, 0.5652173913043478]",Child,Female,"흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화",3.1304347826086953,44.48805950011805,low
