,code,start,duration,A/C,M/F,appearance
18,"['Approach', 'Gesture', 'None']","[2646080, 2654560, 2659680]","[8480, 5160, 77440]",Adult,Male,"{'검정색 상의, 검정색 바지'}"
19,"['Approach', 'None']","[2675360, 2685840]","[10160, 45040]",Adult,Female,"{'단발 머리, 검정색 롱 코트'}"
20,"['Approach', 'None']","[287480, 292680]","[5200, 7600]",Child,Male,"{'초록색 점퍼, 청바지'}"
21,"['Approach', 'None']","[287480, 295080]","[7680, 6480]",Child,Male,"{'검정색 점퍼, 갈색 바지'}"
22,"['Approach', 'Gesture']","[419680, 425040]","[5360, 3360]",Adult,Female,"{'흰색 머리띠, 초록색 크로스백, 흰색 후리스, 청바지'}"
23,"['Approach', 'Gesture']","[420000, 420320]","[3520, 3120]",Child,Male,"{'검정색 점퍼, 회색 바지, 흰색 운동화'}"
24,"['Approach', 'None']","[776360, 793880]","[17520, 10720]",Adult,Female,"{'흰색 머리띠, 초록색 크로스백, 흰색 후리스, 청바지'}"
25,"['Approach', 'Touch', 'Gesture']","[776120, 794200, 799320]","[17840, 5120, 1200]",Child,Male,"{'검정색 점퍼, 회색 바지, 흰색 운동화'}"
26,"['Approach', 'Gesture']","[200440, 203240]","[3800, 2480]",Child,Male,"{'흰색 점퍼, 빨간색 바지'}"
27,"['Approach', 'None']","[1514480, 1523760]","[9280, 16000]",Adult,Male,"{'안경, 크로스백, 검정색 상의, 검정색 바지'}"
28,"['Approach', 'None', 'Gesture', 'None']","[1382600, 1390600, 1391400, 1395320]","[7680, 800, 3920, 3840]",Adult,Female,"{'초록색 모자, 빨간색 크로스백, 흰색 후리스'}"
29,"['Approach', 'None', 'Gesture']","[1385920, 1395040, 1401120]","[9120, 6080, 2880]",Child,Female,"{'검정색 점퍼, 분홍색 상의'}"
30,"['Approach', 'Gesture', 'None', 'Gesture']","[1396480, 1400880, 1402880, 1409040]","[4400, 2000, 6160, 4240]",Child,Male,"{'검정색 후드, 흰색 상의'}"
31,"['Approach', 'Gesture', 'None']","[1515200, 1525760, 1538400]","[10560, 13080, 5360]",Child,Male,"{'검정색 후드, 흰색 상의'}"
32,"['Approach', 'Gesture']","[1603840, 1609600]","[5760, 4960]",Child,Male,"{'검정색 후드, 흰색 상의'}"
33,"['Approach', 'None']","[1569040, 1572240]","[3200, 1920]",Child,Female,"{'양갈래 머리, 하늘색 가방, 흰색 상의, 회색 바지'}"
34,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Follow']","[1700320, 1710640, 1712240, 1714560, 1725680, 1728240, 1757840]","[10000, 1600, 2320, 11120, 2560, 29520, 12240]",Child,Female,"{'양갈래 머리, 하늘색 가방, 흰색 상의, 회색 바지'}"
35,"['Approach', 'None', 'Gesture']","[1681520, 1691200, 1696480]","[9040, 5280, 4000]",Child,Female,"{'묶은 머리, 하늘색 가방, 흰색 상의, 회색 바지'}"
36,"['Approach', 'None', 'Follow']","[1704000, 1711280, 1757840]","[7280, 47840, 11680]",Child,Female,"{'묶은 머리, 하늘색 가방, 흰색 상의, 회색 바지'}"
37,"['Approach', 'None']","[1565600, 1569600]","[4000, 4240]",Adult,Female,"{'짧은 머리, 회색 점퍼, 검정색 신발'}"
38,"['Approach', 'None', 'Touch']","[1688480, 1698240, 1701240]","[9760, 3040, 10280]",Adult,Female,"{'짧은 머리, 회색 점퍼, 검정색 신발'}"
39,"['Approach', 'None', 'Follow']","[1737360, 1742880, 1762320]","[5520, 19920, 11280]",Adult,Female,"{'짧은 머리, 회색 점퍼, 검정색 신발'}"
40,"['Approach', 'None']","[1728920, 1741160]","[11280, 17120]",Adult,Male,"{'회색 가방, 검정색 후드, 청바지'}"
41,"['Approach', 'None']","[1728240, 1735440]","[7200, 24240]",Adult,Female,"{'파란색 가방, 초록/베이지 상의, 흰색 바지'}"
42,"['Approach', 'None', 'Follow']","[1685360, 1694240, 1759680]","[8880, 65440, 10000]",Child,Male,{'땡땡이 트레이닝복'}
43,"['Approach', 'None']","[477480, 487320]","[8560, 5520]",Adult,Female,"{'흰색 가방, 단발머리, 갈색 롱코트'}"
44,"['Approach', 'None']","[2918400, 2929520]","[11120, 1600]",Adult,Male,"{'셔츠 위 조끼, 검정색 바지, 흰색 운동화'}"
45,"['Approach', 'None', 'Gesture', 'None']","[3015360, 3023120, 3031520, 3035920]","[7760, 8400, 4400, 6160]",Adult,Male,"{'셔츠 위 조끼, 검정색 바지, 흰색 운동화'}"
